Year,Month,Day,Temperature,Humidity,WindSpeed,ActualIrradiance,PredictedIrradiance,Confidence,Explanation
2025,3,24,25.51,72.94,0.76,6.156,5.78212503228525,High confidence,Higher-than-average output is mainly due to low wind.
2025,3,25,25.54,68.51,0.9,6.5023,6.0846067266444,High confidence,Higher-than-average output is mainly due to low wind.
2025,3,26,25.49,73.2,0.73,6.4498,5.76295367482184,High confidence,Higher-than-average output is mainly due to low wind.
2025,3,27,25.19,76.41,1.05,5.7408,5.76821050389206,High confidence,Higher-than-average output is mainly due to low wind.
2025,3,28,25.97,72.36,0.95,6.2966,5.85380928068459,High confidence,Higher-than-average output is mainly due to low wind.
2025,3,29,26.44,65.02,0.99,6.6214,6.38005615375371,High confidence,Higher-than-average output is mainly due to low wind.
2025,3,30,25.73,61.8,1,6.582,6.69486926035087,High confidence,Higher-than-average output is mainly due to low wind.
2025,3,31,25.99,67.44,0.87,6.6223,6.13789071259189,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,1,25.05,78.05,0.94,5.185,5.65793396453661,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,2,25.18,77.28,1.13,4.3128,5.75824316965747,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,3,24.88,79.84,0.72,4.9289,5.43267079994325,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,4,24.43,81.35,0.79,5.8248,5.36954314449408,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,5,24.62,81.89,0.65,4.9394,5.22651690143404,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,6,24.38,86.05,1.07,6.4231,5.25520149751649,High confidence,Higher-than-average output is mainly due to high humidity and low wind.
2025,4,7,24.68,84.61,0.8,6.305,5.11807215753195,High confidence,Lower-than-average output is mainly due to high humidity and low wind.
2025,4,8,24.9,81.48,0.85,6.1733,5.41173268758952,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,9,24,86.82,1,5.8709,5.09290121767313,High confidence,Lower-than-average output is mainly due to high humidity and low wind.
2025,4,10,23.39,89.72,1.42,5.1931,5.19981602546266,High confidence,Higher-than-average output is mainly due to high humidity and low wind.
2025,4,11,24.24,84.18,1.46,5.58,5.4545302423258,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,12,23.64,87.38,1.32,5.467,5.27875089749185,High confidence,Higher-than-average output is mainly due to high humidity and low wind.
2025,4,13,24.98,81.1,1.03,4.8996,5.56822878971072,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,14,25.54,78.4,0.94,5.814,5.67223080591199,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,15,25.76,77.33,0.83,6.6389,5.67436836589693,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,16,25.34,79,1.02,6.215,5.67555453587476,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,17,25.09,80.84,1.07,5.7038,5.61597422098531,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,18,24.86,85.18,1.28,5.5404,5.61710392916446,High confidence,Higher-than-average output is mainly due to high humidity and low wind.
2025,4,19,24.7,84.95,1.47,5.7185,5.55223177993834,High confidence,Higher-than-average output is mainly due to high humidity and low wind.
2025,4,20,24.8,83.94,1.23,6.2246,5.56627980778965,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,21,25.49,81.09,1.07,5.9518,5.70071603080429,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,22,25.61,77.42,0.82,6.1481,5.64913239822352,High confidence,Higher-than-average output is mainly due to low wind.
