Year,Month,Day,Temperature,Humidity,WindSpeed,ActualIrradiance,PredictedIrradiance,Confidence,Explanation
2025,3,29,28.59,50.81,2.44,6.5534,6.40428477734483,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,3,30,28.18,40.54,2.46,6.7207,6.50252144963133,High confidence,Higher-than-average output is mainly due to low humidity.
2025,3,31,28.91,46.18,2.12,6.4301,6.4530224361444,High confidence,Higher-than-average output is mainly due to low humidity and high temperature.
2025,4,1,28.24,58.73,1.02,5.2279,5.61242307475194,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,2,26.71,71.42,1.75,3.8263,5.2233079902826,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,3,26.14,76.63,1.43,4.4201,4.85361825362127,Low confidence,Lower-than-average output is mainly due to low wind.
2025,4,4,26.59,72.74,1.86,5.4432,5.19825391427849,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,5,26.84,71.89,1.01,5.1655,5.03469463226219,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,6,27.19,72.67,1.32,5.9515,5.06609901125811,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,7,27.24,72.68,1.55,6.3413,5.17797298620705,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,8,27.58,68.04,1.5,6.0862,5.5129604666653,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,9,26.74,72.63,1.67,6.0588,5.14104116216399,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,10,25.62,79.1,2.94,5.1967,5.47331818667644,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,11,26.52,75.84,3.06,5.4821,5.66119620688183,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,12,26.19,76.09,2.61,6.0202,5.5039425424366,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,13,27.8,69.06,1.73,5.5433,5.55760649920701,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,14,27.94,68.05,1.71,5.4874,5.63128135842623,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,15,27.97,67.84,1.59,6.4786,5.62813119235752,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,16,27.82,68.17,1.86,5.977,5.62579128977057,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,17,27.24,71.81,2.09,5.9371,5.4731478986317,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,18,27.07,75.83,2.7,4.9454,5.68282086704392,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,19,27.64,71.83,2.58,6.0722,5.76457326500879,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
