Year,Month,Day,Temperature,Humidity,WindSpeed,ActualIrradiance,PredictedIrradiance,Confidence,Explanation
2025,3,29,26.44,65.02,0.99,6.6214,6.38434083167308,High confidence,Higher-than-average output is mainly due to low wind.
2025,3,30,25.73,61.8,1,6.582,6.6960107968374,High confidence,Higher-than-average output is mainly due to low wind.
2025,3,31,25.99,67.44,0.87,6.6223,6.15482975622141,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,1,25.05,78.05,0.94,5.185,5.66796685925112,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,2,25.18,77.28,1.13,4.3128,5.76678032168228,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,3,24.88,79.84,0.72,4.9289,5.44034625091152,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,4,24.43,81.35,0.79,5.8248,5.37151157365997,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,5,24.62,81.89,0.65,4.9394,5.22905828303806,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,6,24.38,86.05,1.07,6.4231,5.25171103210327,High confidence,Higher-than-average output is mainly due to high humidity and low wind.
2025,4,7,24.68,84.61,0.8,6.305,5.11399075187987,High confidence,Lower-than-average output is mainly due to high humidity and low wind.
2025,4,8,24.9,81.48,0.85,6.1733,5.41147007877797,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,9,24,86.82,1,5.8709,5.08955768068643,High confidence,Lower-than-average output is mainly due to high humidity and low wind.
2025,4,10,23.39,89.72,1.42,5.1931,5.19881016988895,High confidence,Higher-than-average output is mainly due to high humidity and low wind.
2025,4,11,24.24,84.18,1.46,5.58,5.45116633894017,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,12,23.64,87.38,1.32,5.467,5.27608317143607,High confidence,Higher-than-average output is mainly due to high humidity and low wind.
2025,4,13,24.98,81.1,1.03,4.8996,5.566998043459,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,14,25.54,78.4,0.94,5.814,5.68050651146527,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,15,25.76,77.33,0.83,6.6389,5.68639772257748,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,16,25.34,79,1.02,6.215,5.68110476317806,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,17,25.09,80.84,1.07,5.7038,5.61507682729045,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,18,24.86,85.18,1.28,5.5404,5.61467854732847,High confidence,Higher-than-average output is mainly due to high humidity and low wind.
