Year,Month,Day,Temperature,Humidity,WindSpeed,ActualIrradiance,PredictedIrradiance,Confidence,Explanation
2025,3,29,29.59,70.9,2.81,6.3802,6.67701573384851,High confidence,Higher-than-average output is mainly due to high temperature.
2025,3,30,29.72,68.14,2.54,6.5059,6.62839239180229,High confidence,Higher-than-average output is mainly due to high temperature.
2025,3,31,29.6,70.59,2.87,6.0886,6.74232186128876,High confidence,Higher-than-average output is mainly due to high temperature.
2025,4,1,28.69,74.15,2.58,5.7648,5.95857711197968,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,2,27.42,82.05,1.71,2.4175,5.12840429366004,Low confidence,Lower-than-average output is mainly due to high humidity and low wind.
2025,4,3,28.16,75.62,1.6,5.6722,5.68381945502053,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,4,28.53,74.99,2.21,6.7121,5.90037080253069,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,5,28.14,77.76,1.79,5.6777,5.6836552534653,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,6,28.42,77.79,2.2,6.8767,5.75881567226823,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,7,29.07,75.36,2.24,6.541,6.17782598438239,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,8,29.28,73.86,1.86,6.228,6.29193926825204,Low confidence,Higher-than-average output is mainly due to low wind and high temperature.
2025,4,9,28.69,76.06,2.08,6.3475,6.00582175227019,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,10,28.06,78.87,2.47,6.0312,5.3375375661583,High confidence,Lower-than-average output is mainly due to typical mid-range weather conditions.
2025,4,11,28.21,76.92,2.4,4.8953,5.54375367836842,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,12,28.15,76.12,2.46,6.69,5.50444517622124,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,13,29.24,73.26,2.95,6.7279,6.60585428072172,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,14,29.14,74.71,2.93,6.3734,6.42646998216602,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,15,29.22,73.54,2.54,6.8383,6.27914444845949,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,16,29.22,69.6,1.85,6.6998,6.30291691878906,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,17,28.47,75.85,2.26,6.5287,5.82104170932406,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,18,28.39,77.98,2.5,6.3314,5.60283669497776,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,19,28.62,76.41,2.69,6.5042,5.80669902098156,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,20,28.6,78.61,2.64,6.0084,5.72796859743831,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,21,29.2,76.97,2.62,6.5621,6.1254243365195,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,22,29.44,75.4,2.57,6.6883,6.23603136781383,High confidence,Higher-than-average output is mainly due to high temperature.
2025,4,23,29.02,75.72,3.04,5.957,6.38716409508236,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,24,29.06,77.09,2.95,6.6288,6.19970029153373,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,25,29.32,79.71,3.15,5.6294,5.96559067290939,High confidence,Higher-than-average output is mainly due to high temperature.
2025,4,26,29.33,80.92,2.74,6.168,5.7857122532476,High confidence,Higher-than-average output is mainly due to high temperature.
2025,4,27,28.78,81.86,2.61,5.5956,5.83882256568047,High confidence,Higher-than-average output is mainly due to high humidity.
2025,4,28,28.45,83.47,2.52,5.8363,5.57142553414209,High confidence,Higher-than-average output is mainly due to high humidity.
2025,4,29,29.19,78.87,2.02,6.3574,5.96872947469548,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,30,28.51,84.97,2.65,6.455,5.64639537888159,High confidence,Higher-than-average output is mainly due to high humidity.
2025,5,1,28.84,82.81,2.56,4.835,5.83672606581366,High confidence,Higher-than-average output is mainly due to high humidity.
2025,5,2,28.82,81.26,2.54,6.1039,5.8614875387962,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,5,3,28.98,77.19,3.09,5.0568,6.26614269464613,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,5,4,29.25,76.68,2.74,6.7874,6.17138702013838,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,5,5,29.47,76.17,2.26,5.6938,6.24290179110629,High confidence,Higher-than-average output is mainly due to low wind and high temperature.
2025,5,6,29.08,77.27,3.06,7.2667,6.28490136579792,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
