Year,Month,Day,Temperature,Humidity,WindSpeed,ActualIrradiance,PredictedIrradiance,Confidence,Explanation
2025,3,29,30.16,69.41,2.61,6.5249,6.61023883817316,High confidence,Higher-than-average output is mainly due to low wind and high temperature.
2025,3,30,30.28,61.63,1.84,6.6254,6.76591140328834,High confidence,Higher-than-average output is mainly due to low humidity and low wind and high temperature.
2025,3,31,29.97,64.61,1.99,6.1999,6.72052617814897,High confidence,Higher-than-average output is mainly due to low wind and high temperature.
2025,4,1,29.41,69.44,1.75,5.8596,6.26062930582161,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,2,29.11,72.44,3.51,6.7066,6.0558276769924,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,3,28.68,75.51,1.81,6.4121,5.83451127370409,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,4,27.67,77.21,1.31,6.1898,5.40638726706767,High confidence,Lower-than-average output is mainly due to low wind.
2025,4,5,28.34,75.56,1.63,6.2863,5.68246812745877,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,6,28.29,79.81,2.63,6.7759,5.75069635562864,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,7,28.4,82.58,2.33,6.1534,5.62598435447777,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,8,28.69,80.57,1.94,6.5777,5.82361324370246,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,9,28.09,82.32,3.04,5.8723,5.48155481704896,High confidence,Lower-than-average output is mainly due to low wind.
2025,4,10,28.31,80.6,4.43,2.6117,5.29745524482274,Low confidence,Lower-than-average output is mainly due to typical mid-range weather conditions.
2025,4,11,28.36,79.55,3.93,5.917,5.52219992360408,Low confidence,Lower-than-average output is mainly due to typical mid-range weather conditions.
2025,4,12,28.01,82.52,3.87,4.0217,5.30241368211048,Low confidence,Lower-than-average output is mainly due to typical mid-range weather conditions.
2025,4,13,28.77,78.7,4.5,6.3835,5.44214039221024,Low confidence,Lower-than-average output is mainly due to typical mid-range weather conditions.
2025,4,14,29.25,78.4,3.87,6.4068,5.90474625889075,Low confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,15,29.21,77.29,2.66,6.5928,6.20014924986051,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,16,28.65,78.92,3.07,6.9502,5.9331796996941,Low confidence,Higher-than-average output is mainly due to low wind.
2025,4,17,28.8,78.22,3.71,6.4123,5.77718497629379,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,18,28.28,82.64,3.6,5.8512,5.47750878921979,High confidence,Lower-than-average output is mainly due to typical mid-range weather conditions.
2025,4,19,28.43,81.78,3.99,6.1231,5.48228913190702,High confidence,Lower-than-average output is mainly due to typical mid-range weather conditions.
2025,4,20,28.61,80.28,3.7,6.1824,5.70476087772891,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,4,21,28.8,79.29,4.15,6.343,5.59591625119096,High confidence,Lower-than-average output is mainly due to typical mid-range weather conditions.
2025,4,22,28.35,81.69,3.32,5.0755,5.63981183918029,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,23,28.01,84.27,3.55,5.8522,5.19716917350667,High confidence,Lower-than-average output is mainly due to high humidity.
2025,4,24,28.52,83.64,3.9,6.5285,5.51343422064498,High confidence,Lower-than-average output is mainly due to typical mid-range weather conditions.
2025,4,25,29.09,84.77,4.01,4.8396,6.07175260379706,High confidence,Higher-than-average output is mainly due to high humidity.
2025,4,26,28.75,85.83,2.9,4.5554,5.31886479058558,High confidence,Lower-than-average output is mainly due to high humidity and low wind.
2025,4,27,29.39,76.36,2.27,6.3977,6.1119927075286,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,28,28.85,79.41,2.61,5.6261,6.09675588876574,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,29,29.34,76.33,2.43,6.6456,6.16623427606565,High confidence,Higher-than-average output is mainly due to low wind.
2025,4,30,28.54,84.02,3.45,4.8461,5.58558106246065,High confidence,Lower-than-average output is mainly due to typical mid-range weather conditions.
2025,5,1,28.44,79.65,3.08,6.1104,5.80851515797908,High confidence,Higher-than-average output is mainly due to low wind.
2025,5,2,29.08,81.42,2.95,6.0089,6.29617041704182,High confidence,Higher-than-average output is mainly due to low wind.
2025,5,3,28.69,85.62,4.1,6.6934,5.51346993610322,High confidence,Lower-than-average output is mainly due to high humidity.
2025,5,4,29.21,84.02,4.1,6.5078,6.21000199390909,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
2025,5,5,29.03,81.9,3.46,5.1991,6.14880748278693,High confidence,Higher-than-average output is mainly due to typical mid-range weather conditions.
